frame,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
646,555.73,12.22,2.88,False,False,True
647,596.24,16.66,3.93,False,False,True
648,554.05,12.13,2.84,True,False,True
649,552.65,12.14,2.84,True,False,True
650,548.03,12.11,2.84,True,False,True
651,552.24,12.17,2.85,True,False,True
652,551.34,12.20,2.85,True,False,True
653,576.31,13.54,3.23,False,False,True
654,568.63,12.25,2.87,False,False,True
655,582.47,12.70,3.04,False,False,True
656,555.92,12.17,2.86,False,False,True
657,542.94,12.08,2.82,True,False,True
658,552.76,12.19,2.83,True,False,True
659,552.77,12.21,2.83,True,False,True
660,548.38,12.23,2.84,True,False,True
661,551.66,12.26,2.84,True,False,True
662,550.94,12.20,2.84,True,False,True
663,546.94,12.18,2.82,True,False,True
664,556.61,12.21,2.84,True,False,True
665,551.21,12.16,2.83,True,False,True
666,552.59,11.90,2.80,True,False,True
667,538.75,11.83,2.77,True,False,True
668,576.39,12.55,2.91,False,False,True
669,573.59,12.50,2.89,False,False,True
670,572.35,12.33,2.87,False,False,True
671,554.69,11.76,2.77,True,False,True
672,567.30,11.83,2.78,True,False,True
673,567.03,11.86,2.78,True,False,True
674,562.78,11.84,2.78,True,False,True
675,566.95,11.91,2.78,True,False,True
676,565.87,11.89,2.78,True,False,True
677,561.38,11.88,2.77,True,False,True
678,572.75,12.00,2.80,True,False,True
679,567.49,12.03,2.79,True,False,True
680,555.80,12.13,2.79,True,False,True
681,541.72,12.13,2.78,True,False,True
682,552.94,12.30,2.81,True,False,True
683,553.31,12.41,2.84,True,False,True
684,535.55,11.88,2.76,True,False,True
