frame,laplacian,tenengrad,fft,is_blurry
515,542.60,10.98,2.97,True
516,537.59,10.93,2.98,True
517,541.05,10.96,2.98,True
518,540.69,11.02,3.00,True
519,536.97,11.14,3.02,True
520,547.75,11.31,3.06,True
521,541.89,11.18,3.05,True
522,551.32,11.32,3.09,True
523,538.30,11.21,3.07,True
524,584.37,12.88,3.43,True
525,550.96,11.39,3.12,True
526,549.51,11.43,3.14,True
527,536.36,11.51,3.16,True
528,548.45,11.64,3.18,True
529,548.05,11.73,3.22,True
530,543.28,11.72,3.24,True
531,547.85,11.87,3.25,True
532,546.33,11.97,3.26,True
533,541.21,11.97,3.20,True
534,551.77,11.74,3.10,True
535,546.24,11.69,3.05,True
536,534.64,11.68,3.02,True
537,522.37,11.64,3.06,True
538,534.40,11.73,3.07,True
539,534.49,12.04,3.11,True
540,530.95,12.43,3.22,True
541,534.13,12.43,3.26,True
542,532.70,12.14,3.16,True
543,528.68,11.83,3.10,True
544,538.96,11.89,3.14,True
545,533.37,11.81,3.11,True
546,547.80,11.92,3.11,True
547,535.34,11.85,3.10,True
548,548.01,11.85,3.10,True
549,548.11,11.76,3.09,True
550,550.44,11.59,3.06,True
551,556.78,11.83,3.12,True
552,598.52,13.75,3.91,True
553,547.67,11.23,3.00,True
554,544.91,11.22,3.01,True
555,550.31,11.27,3.01,True
556,534.64,11.03,2.95,True
557,578.95,13.05,3.79,True
558,552.24,10.45,2.81,True
559,545.83,10.32,2.76,True
560,519.02,10.08,2.69,True
561,508.50,9.91,2.64,True
562,523.32,9.83,2.63,True
563,522.96,9.83,2.63,True
564,518.39,9.76,2.63,True
565,521.70,9.77,2.63,True
566,520.97,9.77,2.63,True
567,517.00,9.75,2.61,True
568,526.84,9.78,2.64,True
569,521.49,9.68,2.62,True
570,536.89,9.76,2.62,True
571,551.83,9.89,2.65,True
572,563.21,10.19,2.69,True
573,554.83,9.58,2.58,True
574,555.53,9.59,2.60,True
575,542.02,9.56,2.58,True
576,543.42,9.48,2.56,True
577,542.93,9.44,2.56,True
578,538.54,9.37,2.56,True
579,542.82,9.44,2.55,True
580,542.00,9.44,2.54,True
581,537.53,9.48,2.52,True
582,548.68,9.57,2.54,True
583,544.07,9.58,2.54,True
584,534.37,9.62,2.53,True
